"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GOLGA8R",6.52825506472678e-38,-0.0112258735827288,0.004,0.01,2.07735604414671e-33
"LRRC1",6.69696178727458e-38,-0.0218409385266005,0.022,0.032,2.13104021032864e-33
"CRLF2",6.78883356864319e-38,-0.045662857233108,0.031,0.043,2.16027472987795e-33
"WDR77",6.79466276938437e-38,-0.0510463909662875,0.167,0.182,2.1621296398458e-33
"PKNOX2",7.03310596889647e-38,-0.00636267457538581,0.001,0.006,2.23800465036255e-33
"ZNF816",7.1974440190569e-38,-0.0262537818661955,0.033,0.045,2.2902986613041e-33
"FDX2",7.29981400330312e-38,-0.0318970987212259,0.132,0.133,2.32287381399109e-33
"TRIB1",7.52683417292476e-38,-0.0310220552067434,0.044,0.054,2.39511390216639e-33
"IPMK",7.69136270074083e-38,-0.0354183955813587,0.069,0.086,2.44746852500274e-33
"ZNF606",7.71367200519809e-38,-0.0204297842383125,0.016,0.027,2.45456756877408e-33
"FAM102B",7.73133265308033e-38,-0.0463103152364064,0.087,0.1,2.46018736353669e-33
"TRIM46",7.85064598709738e-38,-0.0244123049140378,0.032,0.042,2.49815405955426e-33
"LINC00486",7.98618318290143e-38,-0.0149178831927254,0.012,0.022,2.54128335063106e-33
"CASKIN1",8.39555875230357e-38,-0.0303734425370044,0.041,0.054,2.67155075057052e-33
"RAI1-AS1",8.42755673200834e-38,-0.0105596311668483,0.003,0.009,2.68173282769237e-33
"NUDT8",8.52016545619487e-38,-0.0333522116677217,0.135,0.134,2.71120184981577e-33
"C2orf27A",8.74835954917983e-38,-0.0341314916293657,0.056,0.071,2.78381549214451e-33
"AC084024.4",8.82913988767425e-38,-0.0129233774845492,0.005,0.011,2.80952060365682e-33
"AC104982.2",8.95496396700952e-38,-0.014909467018758,0.006,0.014,2.8495590839421e-33
"AL162725.2",9.14787685811067e-38,-0.0070442735040011,0.002,0.007,2.9109458950194e-33
"AC233976.1",9.30194244420028e-38,-0.0138169336031607,0.005,0.012,2.95997110516897e-33
"FO393419.2",9.68128060246792e-38,-0.0125282558864601,0.006,0.013,3.08068030051132e-33
"AP000893.2",9.69431635025265e-38,-0.0135207638139008,0.006,0.013,3.0848284058139e-33
"PRRT3-AS1",9.94436611738115e-38,-0.0116707897757132,0.005,0.011,3.16439674221186e-33
"ZNF45",1.0007746250366e-37,-0.0264670545514327,0.037,0.05,3.18456493432896e-33
"FAM114A2",1.07988362420105e-37,-0.0261562886342589,0.125,0.129,3.43629768057015e-33
"AL135978.2",1.08310681190412e-37,-0.0120588916612207,0.005,0.012,3.44655418616011e-33
"FKTN",1.10725068389438e-37,-0.0311129498768439,0.062,0.073,3.5233824012203e-33
"CXorf21",1.11995072114273e-37,-0.0428553585241887,0.07,0.086,3.56379518974829e-33
"ERMAP",1.13138115537549e-37,-0.0270583326326362,0.047,0.059,3.60016797452033e-33
"SPIRE2",1.15110156412213e-37,-0.0154219196908267,0.009,0.017,3.66292028719303e-33
"AC010168.1",1.15741738898662e-37,-0.0120366936299065,0.005,0.011,3.68301787349431e-33
"RALYL",1.16340725678521e-37,-0.00801250537000885,0.002,0.007,3.70207823181623e-33
"PGLYRP2",1.18184134957178e-37,-0.0168909164840912,0.009,0.017,3.76073735847238e-33
"THAP2",1.18538786346116e-37,-0.0279762011790014,0.065,0.075,3.77202272031974e-33
"CAPRIN2",1.22681808875998e-37,-0.0277212204456271,0.045,0.056,3.90385784024313e-33
"PRDM11",1.25582139063797e-37,-0.0192722851886059,0.015,0.023,3.99614924714908e-33
"LRRC57",1.26932188089269e-37,-0.0325734215060775,0.113,0.123,4.03910915718864e-33
"AL160314.2",1.30319160396324e-37,-0.0171882290434942,0.011,0.02,4.14688600297144e-33
"MUC20",1.32103831304475e-37,-0.0207474239931647,0.014,0.024,4.20367601593969e-33
"AC002072.1",1.35587338864256e-37,-0.00665963747724756,0.002,0.006,4.31452470999948e-33
"TMSB4Y",1.38015191024209e-37,-0.00351737671138692,0,0.002,4.39178139358135e-33
"NPHP4",1.38220756900883e-37,-0.0355201856371317,0.061,0.075,4.398322705343e-33
"AC007448.5",1.42656768749499e-37,-0.0167832105605338,0.013,0.023,4.53948103837782e-33
"AP003774.2",1.49740776381589e-37,-0.0125407123478714,0.092,0.089,4.76490124523856e-33
"EXOC6B",1.5093552950035e-37,-0.0617032674972489,0.104,0.128,4.80291948423062e-33
"AC012157.2",1.5169580447527e-37,-0.0115181120394987,0.004,0.011,4.82711219420755e-33
"ZNF619",1.5420657328412e-37,-0.022581519971638,0.029,0.038,4.90700736847398e-33
"CP",1.55669154293978e-37,-0.0139940078759868,0.007,0.014,4.95354815878866e-33
"UTS2",1.58303361180715e-37,-0.0297648074625275,0.224,0.218,5.03737125613152e-33
"CABP4",1.5924983343094e-37,-0.00821750308080589,0.002,0.007,5.06748894960594e-33
"AL157394.3",1.65832005947132e-37,-0.0178388364892675,0.012,0.021,5.27694026124368e-33
"LINC01967",1.72952608267514e-37,-0.00904979787775981,0.002,0.007,5.50352494768058e-33
"AL133375.1",1.7319431016697e-37,-0.01471798112642,0.008,0.015,5.51121614382316e-33
"TPP1",1.74674117870995e-37,-0.0168287074819399,0.396,0.379,5.55830510477294e-33
"AL645728.1",1.84739440211029e-37,-0.0169158982576563,0.015,0.024,5.87859372695517e-33
"PDIA5",1.85937376502454e-37,-0.0365626716593979,0.077,0.09,5.91671325768458e-33
"JPH3",1.8649419995417e-37,-0.00932756799304255,0.003,0.009,5.93443193674164e-33
"AC010173.1",1.87550383132672e-37,-0.0197522427001034,0.011,0.02,5.96804074166474e-33
"TIGAR",1.92211365218893e-37,0.013709030941238,0.21,0.187,6.11635785263039e-33
"TEX48",1.93422944316549e-37,-0.0240473499721987,0.024,0.036,6.15491151109692e-33
"LINC00589",1.96395353012112e-37,-0.00538002828067939,0.001,0.004,6.24949652819843e-33
"BX842570.1",2.0001479386356e-37,-0.0153497016833198,0.009,0.018,6.36467075553236e-33
"TMEM218",2.01536697289227e-37,-0.0286028104700445,0.13,0.136,6.4130992444405e-33
"ZNF563",2.03285862384589e-37,-0.0210479183772598,0.018,0.027,6.46875942694e-33
"CCDC178",2.10474687977494e-37,-0.00617338310518202,0.001,0.006,6.69751504613185e-33
"FAM210A",2.12311017562514e-37,-0.0344289478596818,0.171,0.173,6.75594888985675e-33
"AC007611.1",2.1367210278914e-37,-0.0253711698719674,0.022,0.033,6.79925998285322e-33
"RBFA",2.18220825918762e-37,-0.00161444855158233,0.197,0.18,6.94400490156092e-33
"PAX8",2.29496451791042e-37,-0.0277873312212267,0.025,0.036,7.30280659244274e-33
"TMX3",2.29556678875868e-37,0.00118942303802494,0.221,0.203,7.30472307850898e-33
"FAM227A",2.31587791520304e-37,-0.011769568308441,0.005,0.011,7.36935511396761e-33
"SORBS1",2.33489781314331e-37,-0.0120467598299008,0.005,0.012,7.42987833120332e-33
"MYO16",2.34446740848063e-37,-0.0104873802022712,0.004,0.011,7.46032974052622e-33
"RPGRIP1",2.35789963462546e-37,-0.0099259484982386,0.004,0.011,7.50307242734167e-33
